feature,mean_abs_shap
admission_type_id_7,0.9759148
discharge_disposition_id_16,0.9655295
discharge_disposition_id_12,0.89489746
discharge_disposition_id_9,0.88689166
discharge_disposition_id_17,0.5449377
discharge_disposition_id_28,0.36711672
discharge_disposition_id_15,0.3199342
discharge_disposition_id_23,0.29133618
number_inpatient,0.28725967
repaglinide,0.26901206
discharge_disposition_id_2,0.25906172
diag_2_group_Neoplasms,0.2418074
num_medications,0.22494577
diag_3_group_Other,0.22340423
diag_1_group_Genitourinary,0.21242154
medical_specialty_Surgery-General,0.1839175
medical_specialty_InternalMedicine,0.17296356
glimepiride,0.15896456
admission_type_id_3,0.15838668
discharge_disposition_id_5,0.15482484
metformin,0.14786583
diag_2_group_Circulatory,0.14730206
time_in_hospital,0.14588568
medical_specialty_Cardiology,0.13845405
medical_specialty_Emergency/Trauma,0.13637061
num_lab_procedures,0.13325492
medical_specialty_Orthopedics-Reconstructive,0.12525743
discharge_disposition_id_1,0.12454412
discharge_disposition_id_22,0.12044238
discharge_disposition_id_6,0.119964644
number_diagnoses,0.11918675
diag_3_group_Injury,0.11527628
diag_3_group_Neoplasms,0.114534
diag_3_group_Genitourinary,0.11297075
diag_1_group_Respiratory,0.11194794
diag_2_group_Respiratory,0.10783892
diag_2_group_Other,0.107224934
discharge_disposition_id_24,0.107131235
service_utilization,0.09953475
num_procedures,0.0917444
glyburide-metformin,0.09160024
admission_source_id_9,0.091118164
diag_1_group_Injury,0.08832392
medical_specialty_Nephrology,0.08693772
max_glu_serum_Norm,0.08530218
admission_type_id_5,0.08004183
diag_3_group_Musculoskeletal,0.06708375
diag_2_group_Injury,0.06360483
age_numeric,0.06310499
admission_type_id_2,0.062541656
discharge_disposition_id_18,0.062414963
diag_2_group_Diabetes,0.05902476
diag_2_group_Genitourinary,0.05731491
glyburide,0.057250503
admission_source_id_4,0.056631025
insulin,0.056070052
A1Cresult_>8,0.054390162
diag_3_group_Circulatory,0.052305304
number_outpatient,0.051878687
admission_source_id_17,0.051767543
num_med_increased,0.048545744
glipizide,0.04643619
number_emergency,0.04637684
rosiglitazone,0.04562389
A1Cresult_Norm,0.04398528
pioglitazone,0.03986703
diag_1_group_Other,0.038181942
admission_source_id_1,0.037420064
gender_Female,0.03725104
max_glu_serum_>200,0.037072513
num_med_decreased,0.034993593
admission_type_id_1,0.034904614
diag_2_group_Digestive,0.033918954
discharge_disposition_id_25,0.0337957
admission_source_id_5,0.03314908
A1Cresult_>7,0.03016445
diag_3_group_Respiratory,0.027648665
diag_1_group_Diabetes,0.027391452
diag_1_group_Digestive,0.026677588
admission_type_id_6,0.026140744
discharge_disposition_id_3,0.02144687
medical_specialty_Family/GeneralPractice,0.018413056
diag_1_group_Circulatory,0.018029734
diag_3_group_Diabetes,0.017670088
diag_1_group_Neoplasms,0.017606208
medical_specialty_Radiologist,0.01754261
medical_specialty_Orthopedics,0.017066078
diag_3_group_Digestive,0.016196277
A1Cresult_Not Tested,0.016180761
nateglinide,0.014015645
discharge_disposition_id_7,0.013011118
admission_type_id_8,0.01300869
diag_2_group_Musculoskeletal,0.0120258005
diag_1_group_Musculoskeletal,0.01046125
diabetesMed,0.009477923
change,0.009326693
admission_source_id_2,0.008916054
diag_3_group_Missing,0.008235004
medical_specialty_Other/Missing,0.007793103
admission_source_id_6,0.0077771554
discharge_disposition_id_4,0.007097287
medical_specialty_Pulmonology,0.005618007
max_glu_serum_>300,0.005242334
admission_source_id_7,0.0043408335
max_glu_serum_Not Tested,0.0020332567
admission_source_id_3,0.00094736455
discharge_disposition_id_8,0.0
discharge_disposition_id_27,0.0
gender_Male,0.0
admission_type_id_4,0.0
had_prior_inpatient,0.0
discharge_disposition_id_10,0.0
admission_source_id_25,0.0
admission_source_id_8,0.0
admission_source_id_10,0.0
admission_source_id_13,0.0
admission_source_id_11,0.0
admission_source_id_14,0.0
admission_source_id_20,0.0
admission_source_id_22,0.0
diag_2_group_Missing,0.0
