feature,mean_abs_shap
number_inpatient,0.26689398
discharge_disposition_id_1,0.1824254
service_utilization,0.081065156
diabetesMed,0.05808384
age_numeric,0.055423982
number_diagnoses,0.053113405
diag_1_group_Circulatory,0.05235896
num_medications,0.046039518
time_in_hospital,0.040463496
metformin,0.040283523
num_lab_procedures,0.039303415
discharge_disposition_id_22,0.037166096
diag_1_group_Respiratory,0.029106729
num_med_decreased,0.024568629
discharge_disposition_id_6,0.024261547
diag_2_group_Diabetes,0.023637347
A1Cresult_Not Tested,0.023377564
medical_specialty_Cardiology,0.018311925
discharge_disposition_id_3,0.018241595
admission_source_id_7,0.015560697
number_emergency,0.015424927
diag_1_group_Diabetes,0.014743629
insulin,0.013984808
admission_type_id_2,0.013289543
discharge_disposition_id_5,0.0129296435
num_procedures,0.0128235575
medical_specialty_Emergency/Trauma,0.011908675
diag_2_group_Neoplasms,0.011902868
number_outpatient,0.011597107
diag_3_group_Circulatory,0.011380348
glyburide,0.011164119
gender_Female,0.011062087
diag_2_group_Respiratory,0.010923263
medical_specialty_Orthopedics-Reconstructive,0.010815816
diag_3_group_Other,0.010746542
discharge_disposition_id_2,0.010360562
glimepiride,0.008575966
diag_1_group_Musculoskeletal,0.008360301
admission_source_id_4,0.008334822
medical_specialty_Family/GeneralPractice,0.007814948
diag_1_group_Other,0.0077426923
admission_type_id_3,0.0074016657
medical_specialty_Other/Missing,0.0062619704
pioglitazone,0.005411727
diag_3_group_Respiratory,0.0048417775
discharge_disposition_id_25,0.004541837
admission_source_id_17,0.004341538
diag_3_group_Diabetes,0.0043104105
diag_3_group_Neoplasms,0.004034202
medical_specialty_Nephrology,0.003994496
A1Cresult_Norm,0.003906543
rosiglitazone,0.0038501902
medical_specialty_InternalMedicine,0.003775156
discharge_disposition_id_23,0.0033854935
admission_type_id_1,0.0028390994
admission_type_id_6,0.00276917
diag_3_group_Genitourinary,0.0027602052
diag_1_group_Injury,0.0027434174
glipizide,0.0025906404
diag_1_group_Genitourinary,0.002546175
medical_specialty_Surgery-General,0.0023666741
admission_type_id_5,0.0023280568
diag_2_group_Genitourinary,0.0022764641
change,0.002088936
max_glu_serum_>200,0.0018824574
diag_2_group_Digestive,0.0017478059
diag_2_group_Injury,0.0016555113
nateglinide,0.0016310757
diag_2_group_Circulatory,0.0016155236
diag_3_group_Musculoskeletal,0.0015988842
diag_2_group_Other,0.0015111212
num_med_increased,0.0014411095
max_glu_serum_Not Tested,0.001419774
glyburide-metformin,0.0013569095
admission_source_id_1,0.0010824706
admission_source_id_5,0.0010622062
diag_1_group_Neoplasms,0.0010497621
diag_3_group_Digestive,0.001047572
medical_specialty_Orthopedics,0.0009816312
A1Cresult_>8,0.0009421029
diag_1_group_Digestive,0.0009279333
diag_3_group_Injury,0.0007991809
diag_2_group_Musculoskeletal,0.00069570745
diag_3_group_Missing,0.00063729595
discharge_disposition_id_18,0.0006311092
admission_source_id_6,0.0005934533
A1Cresult_>7,0.0005744785
max_glu_serum_Norm,0.00052766956
admission_type_id_8,0.00050669437
medical_specialty_Radiologist,0.0004198821
admission_source_id_2,0.0003558556
medical_specialty_Pulmonology,0.0002762496
discharge_disposition_id_7,0.00025247017
discharge_disposition_id_4,0.00020433014
repaglinide,0.00018856875
max_glu_serum_>300,0.00012690132
diag_2_group_Missing,7.298781e-05
had_prior_inpatient,0.0
gender_Male,0.0
